,,,,,Score,,,,Batting Stats,,,,,,,,,,,,,,,,,,,,,,,,,,Opp Starter,,
Rk,Gtm,Date,,Opp,Rslt,RS,RA,Inn,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,ROE,IBB,BAbip,LOB,#,Player,T,GmSc
1,1,3/27/2025,@,SEA,L,2,4,9,30,29,2,3,0,0,2,2,0,0,1,10,0.103,0.133,0.31,0.444,9,1,0,0,0,0,0,0.059,1,9,Logan Gilbert,R,77
2,2,3/28/2025,@,SEA,W,7,0,9,44,38,7,12,2,0,3,7,0,0,5,5,0.224,0.297,0.478,0.775,23,0,1,0,0,0,0,0.3,10,11,Luis Castillo,R,55
3,3,3/29/2025,@,SEA,W,4,2,9,38,36,4,9,0,0,1,4,0,0,2,7,0.233,0.295,0.427,0.722,12,1,0,0,0,1,0,0.286,7,11,Bryce Miller,R,47
4,4,3/30/2025,@,SEA,L,1,2,9,34,30,1,4,1,0,1,1,0,0,3,8,0.211,0.276,0.391,0.667,8,1,0,1,0,1,0,0.143,6,12,Bryan Woo,R,65
5,5,3/31/2025,,CHC,L,3,18,9,38,36,3,10,2,0,1,3,0,0,2,6,0.225,0.284,0.396,0.681,15,1,0,0,0,0,0,0.31,8,11,Ben Brown,R,46
6,6,4/1/2025,,CHC,L,4,7,9,35,33,4,8,0,0,2,4,0,0,2,6,0.228,0.284,0.401,0.685,14,2,0,0,0,0,0,0.24,4,10,Justin Steele,L,49
7,7,4/2/2025,,CHC,L,2,10,9,36,31,2,5,1,0,1,2,0,0,5,8,0.219,0.283,0.386,0.67,9,2,0,0,0,1,0,0.182,7,10,Jameson Taillon,R,60
8,8,4/4/2025,@,COL,W,6,3,11,45,42,6,11,2,0,1,5,2,0,3,7,0.225,0.288,0.385,0.673,16,2,0,0,0,0,0,0.294,8,11,Ryan Feltner,R,44
9,9,4/5/2025,@,COL,W,7,4,9,41,34,7,11,3,0,2,6,0,1,7,6,0.236,0.306,0.408,0.714,20,1,0,0,0,0,0,0.346,7,9,Germán Márquez,R,40
10,10,4/6/2025,@,COL,L,5,12,9,38,35,5,9,0,0,2,5,0,0,3,13,0.238,0.307,0.41,0.717,15,0,0,0,0,0,0,0.35,6,9,Chase Dollander,R,42
11,11,4/7/2025,,SDP,L,4,5,9,38,36,4,10,1,0,2,4,0,1,2,6,0.242,0.308,0.416,0.723,17,1,0,0,0,0,0,0.286,7,12,Michael King,R,41
12,12,4/8/2025,,SDP,W,10,4,9,39,36,10,13,4,0,1,8,0,0,3,7,0.252,0.316,0.428,0.744,20,1,0,0,0,0,0,0.429,5,10,Dylan Cease,R,9
13,13,4/9/2025,,SDP,L,1,2,9,32,26,1,2,0,0,0,1,1,0,5,4,0.242,0.31,0.407,0.717,2,1,0,0,1,0,0,0.087,4,11,Randy Vásquez,R,59
14,14,4/11/2025,,NYM,L,6,7,9,42,34,6,9,3,1,1,6,0,0,7,7,0.244,0.316,0.414,0.73,17,1,0,0,1,0,0,0.296,9,10,Griffin Canning,R,38
15,15,4/12/2025,,NYM,W,3,1,9,32,31,3,9,3,0,0,3,0,1,0,7,0.247,0.314,0.412,0.727,12,0,0,0,0,0,0,0.375,5,10,David Peterson,L,55
16,16,4/13/2025,,NYM,L,0,8,9,33,31,0,5,1,0,0,0,0,0,2,6,0.242,0.309,0.4,0.708,6,2,0,0,0,1,0,0.2,6,9,Kodai Senga,R,71
17,17,4/15/2025,@,CHW,W,12,3,9,43,39,12,13,3,0,3,12,0,0,3,4,0.248,0.313,0.416,0.729,25,0,0,0,1,0,0,0.303,4,9,Sean Burke,R,28
18,18,4/16/2025,@,CHW,W,3,1,9,37,34,3,8,1,1,0,3,2,0,3,4,0.247,0.312,0.411,0.723,11,1,0,0,0,1,0,0.267,7,9,Jonathan Cannon,R,59
19,19,4/17/2025,@,CHW,W,8,0,9,41,40,8,13,3,2,4,8,0,0,1,7,0.252,0.314,0.435,0.748,32,0,0,0,0,0,0,0.31,6,9,Davis Martin,R,38
20,20,4/18/2025,@,MIL,L,3,5,9,40,35,3,10,1,0,0,3,0,0,4,6,0.254,0.316,0.429,0.744,11,1,0,0,1,0,0,0.333,10,9,Freddy Peralta,R,57
21,21,4/19/2025,@,MIL,W,3,1,9,34,33,3,8,1,0,2,3,1,1,1,9,0.253,0.313,0.43,0.743,15,1,0,0,0,0,0,0.273,4,9,Chad Patrick,R,57
22,22,4/20/2025,@,MIL,L,1,14,9,31,30,1,4,0,0,1,1,0,0,1,14,0.248,0.308,0.422,0.73,7,1,0,0,0,0,0,0.2,3,11,Logan Henderson,R,70
23,23,4/22/2025,,TEX,L,5,8,9,42,38,5,11,1,0,4,5,2,0,4,6,0.25,0.31,0.432,0.742,24,0,0,0,0,0,0,0.25,10,11,Patrick Corbin,L,47
24,24,4/23/2025,,TEX,W,5,2,9,37,33,5,10,4,0,1,5,0,0,4,7,0.252,0.313,0.435,0.748,17,1,0,0,0,0,0,0.36,8,10,Kumar Rocker,R,22
